 Papers,Title,Monkey,Epoch,Brain areas,Main epoch,Note main epoch,Sensitive neurons,Layers,Number of neurons (number of sessions),"Grand CP, random seeds","CP (zero signal), random seeds","Grand CP, frozen seeds","CP (zero signal), frozen seeds",CP-P/N ratio slope,CP-P/N ratio intercept,Recording technique,Description of the stimulus,Task parameter,Difficulty parameter,Stimulus size tailored to neurons' RF,Ratio of stimulus size to RF size ,Non task parameters of stimulus tailored to neurons,Task parameters of stimulus tailored to neurons,How neurons' preferences were estimated,Stimulus duration(ms),Time window for CP calc (ms),Stimulus type,Task type,Reaction Time (RT) Task,"Bias in Sensitivities (proportion of neurons with d'>0, + is for Target 1) ",Perceptual learning exposure duration before data collection,Perceptual learning exposure duration during data collection,Lapse rate,Psych. kernel alignment with the task,Neurometric threshold,Psychometric threshold,N/P ratio,Neurometric threshold method,Choice made by,Predictibility of choice targets,Location of stimulus (deg visual angle),Symmetry of task sensitivity of neurons,Location of target 1(deg visual angle),Location of target 2(deg visual angle),CP-sensitivity: variable for sensitivity,CP-sensitivity: how measured,CP-sensitivity: result (pvalue),,,
Uka et al. (2012),Change in Choice-Related Response Modulation in Area MT during Learning of a Depth-Discrimination Task is Consistent with Task Learning,G,"1(last 20 sessions with threshold < 96%, when CP plateau)",MT,1,,,,20,0.69 (0.41 - 0.94),0.67 (0.41 - 0.96),,,0.133 (-0.004;0.270),0.561 (0.412;0.710),single electrode,100% coherent moving dots stereogram,near/far disparity,coherence,1 (individual neuron RF),1.3 (0.49 - 2.7),1 (individual neuron),1 (individual neuron),from separate sessions,1500,1500,1 (not bi-stable),2 (coarse discrimination),No,,3,1.5,0.18%,,27.7 (10.5 - 54.3),24.1 (10.5 - 40.2),1.2 (0.64 - 2.8),Neuron-Anti-neuron,Saccades,Fixed for the whole period,6.5 (3.8 - 13.6),,"(0, 5)","(0, -5)",,,,,,
,,P,"1(last 20 sessions with threshold < 96%, when CP plateau)",MT,1,,,,20,0.56 (0.40 - 0.73),0.56 (0.35 - 0.7),,,0.054 (0.003;0.104),0.474 (0.381;0.568),single electrode,100% coherent moving dots stereogram,near/far disparity,coherence,1 (individual neuron RF),1.3 (0.66 - 4.3),1 (individual neuron),1 (individual neuron),from separate sessions,1500,1500,1 (not bi-stable),2 (coarse discrimination),No,,4.5,2,2.9%,,32.6 (14.6 - 70.9),42.4 (22.7 - 66.6),0.81 (0.27 - 1.8),Neuron-Anti-neuron,Saccades,Fixed for the whole period,6.2 (4.2 - 9.7),,"(0, 5)","(0, -5)",,,,,,
,,M,"2 (all sessions, transfer learning)",MT,1,,,,28,0.63 (0.38 - 0.81),0.64 (0.35 - 0.85),,,0.067 (-0.001;0.136),0.536 (0.431;0.641),single electrode,100% coherent moving dots stereogram,near/far disparity,coherence,1 (individual neuron RF),1.35 (0.37 - 2.7),1 (individual neuron),1 (individual neuron),from separate sessions,1500,1500,1 (not bi-stable),2 (coarse discrimination),No,,8,5,2.5%,,31.6 (13.0 - 68.2),37.1 (23.2 - 63.4),0.91 (0.29 - 2.6),Neuron-Anti-neuron,Saccades,Fixed for the whole period,6.1 (3.6 - 10.6),,"(0, 5)","(0, -5)",,,,,,
,,K,"2 (all sessions, transfer learning)",MT,1,,,,24,0.59 (0.32 - 0.85),0.61 (0.38 - 0.89),,,0.136 (0.083;0.189),0.405 (0.322;0.488),single electrode,100% coherent moving dots stereogram,near/far disparity,coherence,1 (individual neuron RF),1.44 (0.71 - 2.8),1 (individual neuron),1 (individual neuron),from separate sessions,1500,1500,1 (not bi-stable),2 (coarse discrimination),No,,3,6,1.3%,,30.1 (10.3 - 71.5),32.3 (17.2 - 53.9),0.99 (0.3 - 2.6),Neuron-Anti-neuron,Saccades,Fixed for the whole period,7.4 (5.2 - 11.0),,"(0, 5)","(0, -5)",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumano & Uka (2014) ,Visual impairment by surrounding noise is due to interactions among stimuli in the higher-order visual cortex,P,1(all neurons),MT,1,,,,32,0.57 (0.28 - 0.82),,,,0.036 (-0.035;0.106),0.537 (0.450;0.623),single electrode,random dots,direction of movement,coherence,3 (smaller than single neuron RF),0.38 (0.22 - 0.79),1 (individual neuron),1 (individual neuron),from separate sessions,500,500,1 (not bi-stable),2 (coarse discrimination),No,,12,5,0.23%,,23.0 (4.6 - 82.7),12.8 (6.6 - 26.7),2 (0.49 - 7.1),Neuron-Anti-neuron,Saccades,varied session by session,11.1 (6.1 - 16.5),,"5, based on neuron pref","5, based on neuron pref",,,,,,
,,K,1(all neurons),MT,1,,,,28,0.61 (0.46 - 0.93),,,,0.086 (0.027;0.144),0.510 (0.430;0.590),single electrode,random dots,direction of movement,coherence,3 (smaller than single neuron RF),0.34 (0.18 - 0.62),1 (individual neuron),1 (individual neuron),from separate sessions,500,500,1 (not bi-stable),2 (coarse discrimination),No,,11,4,0%,,17.2 (3.7 - 80.8),11.6 (6.1 - 24.3),1.48 (0.34 - 7.6),Neuron-Anti-neuron,Saccades,varied session by session,14.0 (8.0 - 19.6),,"5, based on neuron pref","5, based on neuron pref",,,,,,
,,two combined,1(all neurons),MT,4,,,,60,0.59 (p < 0.0001) ,,,,0.064 (0.020;0.108),0.520 (0.463;0.578),single electrode,random dots,direction of movement,coherence,3 (smaller than single neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,500,500,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,Neuron-Anti-neuron,Saccades,varied session by session,,,,,threshold,Spearman correlation,-0.39(p = 0.004),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matsumora et al.  (2008) ,Relationship Between Color Discrimination and Neural Responses in the Inferior Temporal Cortex of the Monkey,Y,1(all neurons),IT(TE),1,,,,57,,,,0.516 (p<0.05),,,single electrode,colored shape,hue,hue,3 (smaller than single neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,500,500,1 (not bi-stable),1 (fine discrimination),No,not applicable,2-4,,,,0.0268,0.0159,1.685534591,,Saccades,Fixed for the whole period,"(0,0)",,"(5,0)","(-5,0)",,,,Change in Choice-Related Response Modulation in Area MT during Learning of a Depth-Discrimination Task is Consistent with Task Learning,,
,,R,1(all neurons),IT(TE),1,,,,28,,,,0.535 (p<0.05),,,single electrode,colored shape,hue,hue,3 (smaller than single neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,500,500,1 (not bi-stable),1 (fine discrimination),No,not applicable,2-4,,,,0.0305,0.0262,1.164122137,,Saccades,Fixed for the whole period,"(0,0)",,"(5,0)","(-5,0)",,,,Change in Choice-Related Response Modulation in Area MT during Learning of a Depth-Discrimination Task is Consistent with Task Learning,,
,,two combined,1(all neurons),IT(TE),4,,,,87,,,0.517 (p < 0.001),,,,single electrode,colored shape,hue,hue,3 (smaller than single neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,500,500,1 (not bi-stable),1 (fine discrimination),No,not applicable,2-4,,,,0.0279,0.0186,1.5,,Saccades,Fixed for the whole period,"(0,0)",,"(5,0)","(-5,0)",sensitivity,Spearman correlation,0.0578(p = 0.604),Change in Choice-Related Response Modulation in Area MT during Learning of a Depth-Discrimination Task is Consistent with Task Learning,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiozaki et al.  (2012),Neural Activity in Cortical Area V4 Underlies Fine Disparity Discrimination,R,1(all neurons),V4,1,,,,53,0.54,0.55,,0.54,,,single electrode,random dot stereogram,near/far than surround,disparity,1 (individual neuron RF),1.49 (1.25-2),3 (not tailored),3 (not tailored),from separate sessions,1500,1500,1 (not bi-stable),1 (fine discrimination),No,not applicable,7,8,1.4%,,0.2924,0.017,17.2,,Saccades,Fixed for the whole period,6.7,,"(0,5)","(0,-5)",,,,Neuron,,
,,K,1(all neurons),V4,1,,,,35,0.55,,,,,,single electrode,random dot stereogram,near/far than surround,disparity,1 (individual neuron RF),1.42 (1.2-2),3 (not tailored),3 (not tailored),from separate sessions,1500,1500,1 (not bi-stable),1 (fine discrimination),No,not applicable,10,10,0.37%,,0.2052,0.036,5.7,,Saccades,Fixed for the whole period,8.3,,"(0,5)","(0,-5)",,,,Neuron,,
,,two combined,1(all neurons),V4,4,,,,88,0.55 (p < 0.0001) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,threshold,Spearman correlation,-0.23 (p = 0.030),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rao et al. (2012),Neural Correlates of Prior Expectations of Motion in the Lateral Intraparietal and Middle Temporal Areas,1,1(neutral cue),MT,1,,,,30,0.53(p = 0.03),,,,,,single electrode,random dots with cue,direction of movement,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,1000,1000,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,varied session by session,10.1,,based on neuron pref,based on neuron pref,,,,,,
,,1,2(valid cue),MT,0,because MT neurons become less relevant to the task,,,30,0.51(p = 0.11),,,,,,single electrode,random dots with cue,direction of movement,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,1000,1000,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,varied session by session,10.1,,based on neuron pref,based on neuron pref,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liu & Newsome (2005),Correlation between Speed Perception and Neural Activity in the Middle Temporal Visual Area,two combined,1(all neurons),MT,1,,,,101,0.5196930693,,,,,,single electrode,100% coherent moving dots,speed,speed difference,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,4.34,,Saccades,varied session by session,,,based on stimulus location,based on stimulus location,,,,,,
,,two combined,2(d' > 0),MT,0,,,,72,0.524(p < 0.001),,,,,,single electrode,100% coherent moving dots,speed,speed difference,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,,,Saccades,varied session by session,,,based on stimulus location,based on stimulus location,,,,,,
,,two combined,3(d'<0),MT,0,,,,29,0.509(p = 0.18),,,,,,single electrode,100% coherent moving dots,speed,speed difference,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,,,Saccades,varied session by session,,,based on stimulus location,based on stimulus location,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kang & Maunsell (2020),The Correlation of Neuronal Signals with Behavior at Different Levels of Visual Cortex and Their Relative Reliability for Behavioral Decisions,two combined,1(large stimulus),V1,1,,,,119,0.51(SEM=0.005),,,,,,single electrode,flashing drifting gabor patches,direction change,direction difference,2 (population of neurons),,3 (not tailored),1 (individual neuron),from separate sessions,150,150,1 (not bi-stable),3 (change detection),Yes,,5.5,,1.9%,,13.2,8.1,1.7,,Saccades,varied session by session,5.581081081,,based on stimulus location,none,,,,,,
,,two combined,1(large stimulus),MT,1,,,,107,0.52(SEM=0.005),,,,,,single electrode,flashing drifting gabor patches,direction change,direction difference,3 (smaller than single neuron RF),,3 (not tailored),1 (individual neuron),from separate sessions,150,150,1 (not bi-stable),3 (change detection),Yes,,5.5,,1.9%,,18.5,7.6,2,,Saccades,varied session by session,11.2,,based on stimulus location,none,,,,,,
,,two combined,1(large stimulus),VIP,1,,,,101,0.55(SEM=0.008),,,,,,single electrode,flashing drifting gabor patches,direction change,direction difference,3 (smaller than single neuron RF),,3 (not tailored),1 (individual neuron),from separate sessions,150,150,1 (not bi-stable),3 (change detection),Yes,,5.5,,1.9%,,29.8,8.3,2.5,,Saccades,varied session by session,16.8,,based on stimulus location,none,,,,,,
,,two combined,2(small stimulus),V1,2,"because have per monkey data, 2 - because of NP ratio and CP is significant",,,105,0.54(SEM=0.008),,,,,,single electrode,flashing drifting gabor patches,direction change,direction difference,2 (population of neurons),,3 (not tailored),1 (individual neuron),from separate sessions,150,150,1 (not bi-stable),3 (change detection),Yes,,5.5,,1.9%,,22.6,14.7,1.3,,Saccades,varied session by session,5.581081081,,based on stimulus location,none,,,,,,
,,two combined,2(small stimulus),MT,1,,,,73,0.52(SEM=0.01),,,,,,single electrode,flashing drifting gabor patches,direction change,direction difference,3 (smaller than single neuron RF),,3 (not tailored),1 (individual neuron),from separate sessions,150,150,1 (not bi-stable),3 (change detection),Yes,,5.5,,1.9%,,38.2,6.8,4,,Saccades,varied session by session,11.2,,based on stimulus location,none,,,,,,
,,two combined,2(small stimulus),VIP,1,,,,68,0.55(SEM=0.009),,,,,,single electrode,flashing drifting gabor patches,direction change,direction difference,3 (smaller than single neuron RF),,3 (not tailored),1 (individual neuron),from separate sessions,150,150,1 (not bi-stable),3 (change detection),Yes,,5.5,,1.9%,,47.9,6.9,5.5,,Saccades,varied session by session,16.8,,based on stimulus location,none,,,,,,
,,1,2(small stimulus),V1,1,,,,55,0.55,,,,,,single electrode,flashing drifting gabor patches,direction change,direction difference,2 (population of neurons),,3 (not tailored),1 (individual neuron),from separate sessions,150,150,1 (not bi-stable),3 (change detection),Yes,,5.5,,1.9%,,,,,,Saccades,varied session by session,2.6-6.1,,based on stimulus location,none,,,,,,
,,2,2(small stimulus),V1,1,,,,30,0.52,,,,,,single electrode,flashing drifting gabor patches,direction change,direction difference,2 (population of neurons),,3 (not tailored),1 (individual neuron),from separate sessions,150,150,1 (not bi-stable),3 (change detection),Yes,,5.5,,1.9%,,,,,,Saccades,varied session by session,2.6-20,,based on stimulus location,none,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosking & Maunsell (2011),,two combined,1(preffered direction),MT,1,,,,51,0.555,,,,,,single electrode,random dots,change of coherence,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from task data,500,500,1 (not bi-stable),3 (change detection),Yes,not aplicable,4.5,,,,,,,,Saccades,predictable but varied trial by trial,,,different sides of the stimulus,none,sensitivity,Spearman correlation,r = 0.22 (p = 0.001),J Neurosci. 2011 Jun 1;31(22):8230-8.,,
,,two combined,2(anti-preffered direction),MT,1,,,,51,0.5175,,,,,,single electrode,random dots,change of coherence,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from task data,500,500,1 (not bi-stable),3 (change detection),Yes,not aplicable,4.5,,,,,,,,Saccades,predictable but varied trial by trial,,,different sides of the stimulus,none,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook & Maunsell (2002) (mean DP  from Herrington et al. (2009)),,two combined,1(all trials),MT,1,,,,93,,0.588,,,,,single electrode,random dots,coherent motion,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,750,250,1 (not bi-stable),3 (change detection),Yes,not aplicable,,,,,,,>>1,,Lever,Fixed for the whole period,,,not aplicable,not aplicable,,,,,,
,,two combined,2(trials without microsaccades),MT,0,,,,93,,0.571,,,,,single electrode,random dots,coherent motion,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,750,250,1 (not bi-stable),3 (change detection),Yes,not aplicable,,,,,,,,,Lever,Fixed for the whole period,,,not aplicable,not aplicable,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herrington et al. (2009),"The Effect of Microsaccades on the Correlation between Neural Activity and Behavior in Middle Temporal, Ventral Intraparietal, and Lateral Intraparietal Areas",two combined,1(all trials),MT,1,,,,67,0.558,,,,,,single electrode,100% coherence random dots,speed change,speed,1 (individual neuron RF),,3 (not tailored),1 (individual neuron),from separate sessions,53,150,1 (not bi-stable),3 (change detection),Yes,,,,,,,,,,Lever,Fixed for the whole period,,,not aplicable,not aplicable,,,,,,
,,two combined,2(trials without microsaccades),MT,0,,,,67,0.547,,,,,,single electrode,100% coherence random dots,speed change,speed,1 (individual neuron RF),,3 (not tailored),1 (individual neuron),from separate sessions,53,150,1 (not bi-stable),3 (change detection),Yes,,,,,,,,,,Lever,Fixed for the whole period,,,not aplicable,not aplicable,,,,,,
,,two combined,1(all trials),MT,1,,,,127,0.560,,,,,,single electrode,random dots,coherent motion,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,50,150,1 (not bi-stable),3 (change detection),Yes,,,,,,,,,,Lever,Fixed for the whole period,,,not aplicable,not aplicable,,,,,,
,,two combined,2(trials without microsaccades),MT,0,,,,127,0.556,,,,,,single electrode,random dots,coherent motion,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,50,150,1 (not bi-stable),3 (change detection),Yes,,,,,,,,,,Lever,Fixed for the whole period,,,not aplicable,not aplicable,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smith et al. (2011),The Functional Link between Area MT Neural Fluctuations and Detection of a Brief Motion Stimulus,two combined,1(pulse in one site where RF),MT,1,because this is the most comparable with other studies,,,124,,0.58(0.57-0.60),,,,,single electrode,random dots,coherent motion,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,50,200,1 (not bi-stable),3 (change detection),Yes,,,,,,,,,,Lever,Fixed for the whole period,,,not aplicable,not aplicable,sensitivity,Spearman correlation,0.69 (p < 0.001),,,
,,two combined,2(pulse in both sites),MT,0,,,,124,,0.56(0.55-0.57),,,,,single electrode,random dots,coherent motion,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,50,200,1 (not bi-stable),3 (change detection),Yes,,,,,,,,,,Lever,Fixed for the whole period,,,not aplicable,not aplicable,sensitivity,Spearman correlation,0.71 (p < 0.001),,,
,,two combined,"3(no pulse in RF, but pulse in another location)",MT,0,,,,124,,0.51 (0.50 - 0.52),,,,,single electrode,random dots,coherent motion,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,50,200,1 (not bi-stable),3 (change detection),Yes,,,,,,,,,,Lever,Fixed for the whole period,,,not aplicable,not aplicable,sensitivity,Spearman correlation,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bondy et al. (2018),Feedback determines the structure of correlated variability in primary visual cortex,two combined,1(all neurons),V1,0,,0,,200(41),,0.518(SEM = 0.003),,,,,"Linear probe, Uttah",band-passed grating,orientation,coherence,2 (population of neurons),,3 (not tailored),3 (not tailored),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,varied across multiple sessions,,,3(vertical or horizontal),-3(vertical or horizontal),,,,,,
,,two combined,2(d' > 0.9),V1,2,have significance value,1,,144,,0.54(p < 0.001),,,,,"Linear probe, Uttah",band-passed grating,orientation,coherence,2 (population of neurons),,3 (not tailored),3 (not tailored),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,varied across multiple sessions,,,3(vertical or horizontal),-3(vertical or horizontal),,,,,,
,,LEM,2(d' > 0.9),V1,1,because filtering only sensitive neurons is the most comparable with other studies,,,63,,0.56,,,,,Linear probe,band-passed grating,orientation,coherence,2 (population of neurons),,3 (not tailored),3 (not tailored),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,varied across multiple sessions,5.4,,3(vertical or horizontal),-3(vertical or horizontal),,,,,,
,,JBE,2(d' > 0.9),V1,1,because filtering only sensitive neurons is the most comparable with other studies,,,81,,0.52,,,,,Utah,band-passed grating,orientation,coherence,2 (population of neurons),,3 (not tailored),3 (not tailored),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,varied across multiple sessions,0.5,,3(vertical or horizontal),-3(vertical or horizontal),,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price & Born (2010),Timescales of Sensory- and Decision-Related Activity in the Middle Temporal and Medial Superior Temporal Areas,two combined,all neurons,MT/MST,0,,0,,172,,0.52(p<0.001),,,,,single electrode,100% coherent moving dots,speed,speed ratio,1 (individual neuron RF),1,1 (individual neuron),3 (not tailored),from separate sessions,<750,<750,1 (not bi-stable),1 (fine discrimination),Yes,,6,,~0,,,,,,Saccades,Fixed for the whole period,,,"(0,6)","(0,-6)",sensitivity,Spearman correlation,,,,
,,two combined,neurometric performance (% correct) > 0.75,MT/MST,0,,1,,72,,0.549,,,,,single electrode,100% coherent moving dots,speed,speed ratio,1 (individual neuron RF),1,1 (individual neuron),3 (not tailored),from separate sessions,<750,<750,1 (not bi-stable),1 (fine discrimination),Yes,,6,,~0,,,,,,Saccades,Fixed for the whole period,,,"(0,6)","(0,-6)",sensitivity,Spearman correlation,,,,
,,N,neurometric performance (% correct) > 0.75,MT/MST,1,because filtering only sensitive neurons is the most comparable with other studies,,,132,,0.553(p<0.001),,,,,single electrode,100% coherent moving dots,speed,speed ratio,1 (individual neuron RF),1,1 (individual neuron),3 (not tailored),from separate sessions,<750,<750,1 (not bi-stable),1 (fine discrimination),Yes,,6,,~0,,,,,,Saccades,Fixed for the whole period,,,"(0,6)","(0,-6)",sensitivity,Spearman correlation,-0.11(p = 0.42),,,
,,P,neurometric performance (% correct) > 0.75,MT/MST,1,because filtering only sensitive neurons is the most comparable with other studies,,,71,,0.545(p<0.001),,,,,single electrode,100% coherent moving dots,speed,speed ratio,1 (individual neuron RF),1,1 (individual neuron),3 (not tailored),from separate sessions,<750,<750,1 (not bi-stable),1 (fine discrimination),Yes,,6,,~0,,,,,,Saccades,Fixed for the whole period,,,"(0,6)","(0,-6)",sensitivity,Spearman correlation,0.31(p < 0.05),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smolyanskaya et al.  (2015) ,A Modality-Specific Feedforward Component of Choice-Related Activity in MT,S,1(depth task),MT,1,,,,34,0.61,,,,,,single electrode,binocular disparate 100% coherent moving dots,change of binocular coherence,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,200-650,375,1 (not bi-stable),3 (change detection),Yes,,,> 2,< 5%,,,,,,Saccades,varied session by session,,,stimulus location,none,,,,A Modality-Specific Feedforward Component of Choic,,
,,Q,1(depth task),MT,1,,,,41,0.58,,,,,,single electrode,binocular disparate 100% coherent moving dots,change of binocular coherence,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,200-650,375,1 (not bi-stable),3 (change detection),Yes,,,>3,< 5%,,,,,,Saccades,varied session by session,,,stimulus location,none,,,,,,
,,S,2(motion task),MT,1,,,,34,0.58,,,,,,single electrode,100% binocular coherent random moving dots,change of direction coherence,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,200-650,375,1 (not bi-stable),3 (change detection),Yes,,,>2,< 5%,,,,,,Saccades,varied session by session,,,stimulus location,none,,,,,,
,,Q,2(motion task),MT,1,,,,41,0.58,,,,,,single electrode,100% binocular coherent random moving dots,change of direction coherence,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,200-650,375,1 (not bi-stable),3 (change detection),Yes,,,>3,< 5%,,,,,,Saccades,varied session by session,,,stimulus location,none,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanayei et al. (2018),Perceptual learning of fine contrast discrimination changes neuronal tuning and population coding in macaque V4,1,1,V4,1,,,,29(5),0.53(SEM = 0.005),,,,,,Utah,Oriented grating,contrast,difference from sample stimulus,2 (population of neurons),,3 (not tailored),3 (not tailored),from task data,512,512,1 (not bi-stable),1 (fine discrimination),No,0.9,,,,,,,,,Saccades,Fixed for the whole period,"(-5,-15)",,to the left of stimulus,to the right of stimulus,,,,,,
,,2,1,V4,1,,,,20(5),0.56(SEM = 0.01),,,,,,Utah,Oriented grating,contrast,difference from sample stimulus,2 (population of neurons),,3 (not tailored),3 (not tailored),from task data,512,512,1 (not bi-stable),1 (fine discrimination),No,1,,,,,,,,,Saccades,Fixed for the whole period,"(-5,-15)",,to the left of stimulus,to the right of stimulus,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thiele et al. (1999) ,Decision-related activity in the macaque dorsal visual pathway,H,1(all neurons),V3A,1,,,,14,,,,,,,single electrode,drifting square wave grating + noise,direction of movement,contrast,1 (individual neuron RF),,1 (individual neuron),3 (not tailored),from task data,"300,400,500","300,400,500",1 (not bi-stable),2 (coarse discrimination),Yes,,,,10%,,,,,,Buttons,Fixed for the whole period,,,not aplicable,not aplicable,,,,Decision-related activity in the,,
,,H,1(all neurons),MT,1,,,,185,,,,,,,single electrode,drifting square wave grating + noise,direction of movement,contrast,1 (individual neuron RF),,1 (individual neuron),3 (not tailored),from task data,"300,400,500","300,400,500",1 (not bi-stable),2 (coarse discrimination),Yes,,,,10%,,,,,,Buttons,Fixed for the whole period,,,not aplicable,not aplicable,,,,,,
,,H,1(all neurons),MST,1,,,,60,,,,,,,single electrode,drifting square wave grating + noise,direction of movement,contrast,1 (individual neuron RF),,1 (individual neuron),3 (not tailored),from task data,"300,400,500","300,400,500",1 (not bi-stable),2 (coarse discrimination),Yes,,,,10%,,,,,,Buttons,Fixed for the whole period,,,not aplicable,not aplicable,,,,,,
,,A,1(all neurons),V3A,1,,,,23,,,,,,,single electrode,drifting square wave grating + noise,direction of movement,contrast,2 (population of neurons),,2 (population of neurons),3 (not tailored),from task data,"300,400,500","300,400,500",1 (not bi-stable),2 (coarse discrimination),Yes,,,,1.3%,,,,,,Buttons,Fixed for the whole period,,,not aplicable,not aplicable,,,,,,
,,A,1(all neurons),MT,1,,,,186,,,,,,,single electrode,drifting square wave grating + noise,direction of movement,contrast,2 (population of neurons),,2 (population of neurons),3 (not tailored),from task data,"300,400,500","300,400,500",1 (not bi-stable),2 (coarse discrimination),Yes,,,,1.3%,,,,,,Buttons,Fixed for the whole period,,,not aplicable,not aplicable,,,,,,
,,A,1(all neurons),MST,1,,,,85,,,,,,,single electrode,drifting square wave grating + noise,direction of movement,contrast,2 (population of neurons),,2 (population of neurons),3 (not tailored),from task data,"300,400,500","300,400,500",1 (not bi-stable),2 (coarse discrimination),Yes,,,,1.3%,,,,,,Buttons,Fixed for the whole period,,,not aplicable,not aplicable,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thiele & Hoffmann (2008),"Neuronal firing rate, inter-neuron correlation and synchrony in area MT are correlated with directional choices during stimulus and reward expectation",two combined,"1(early decision, no stimulus)",MT,1,"most comparable with other studies. as in the late decision probability that stimulus occured is zero, so based their decision on history",,,138,,,,0.542(p<0.001),,,single electrode,drifting square wave grating + noise,direction of movement,contrast,1 (individual neuron RF),,1 (individual neuron),3 (not tailored),from task data,not applicable,400,1 (not bi-stable),2 (coarse discrimination),Yes,,,,,,,,,,Buttons,Fixed for the whole period,,,not aplicable,not aplicable,,,,,,
,,two combined,"2(late decision, no stimulus)",MT,0,,,,138,,,,0.497(p = 0.9),,,single electrode,drifting square wave grating + noise,direction of movement,contrast,1 (individual neuron RF),,1 (individual neuron),3 (not tailored),from task data,not applicable,400,1 (not bi-stable),2 (coarse discrimination),Yes,,,,,,,,,,Buttons,Fixed for the whole period,,,not aplicable,not aplicable,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
